,STATE,COUNTY,# PHARMACIES,POPULATION,AVERAGE LIFE EXPECTANCY,PHARM CONCENTRATION (pop),CLASSIFICATION,LAND AREA (mi^2),PHARM CONCENTRATION (land),LAT,LNG
0,Texas,ANDERSON,12,57741,72.0,0.20782459604094145,Urban,1062.6,0.11293054771315642,34.5528328,-82.6483442
1,Texas,ANDREWS,5,17722,75.5,0.2821351991874506,Urban Cluster,1500.7,0.03331778503365096,32.342627,-102.7135121
2,Texas,ANGELINA,27,87805,75.0,0.3074995729172598,Urban,797.8,0.33843068438205065,31.2704698,-94.645035
3,Texas,ARANSAS,6,25572,75.2,0.23463162834350068,Urban Cluster,252.1,0.2380007933359778,28.0761262,-96.9638624
4,Texas,ARCHER,1,8809,75.8,0.11352026336701102,Urban Cluster,903.1,0.011072970878086591,33.5761511,-98.7481167
5,Texas,ARMSTRONG,1,1879,76.0,0.532197977647685,Rural,909.1,0.010999890001099988,40.8790518,-79.4703885
6,Texas,ATASCOSA,13,48981,76.5,0.26540903615687716,Urban Cluster,1219.5,0.1066010660106601,28.8661281,-98.5721016
7,Texas,AUSTIN,9,29786,77.0,0.30215537500839323,Urban Cluster,646.5,0.13921113689095127,29.8711291,-96.2800864
8,Texas,BAILEY,3,7077,76.5,0.42390843577787196,Urban Cluster,826.8,0.036284470246734396,34.0913057,-102.8975098
9,Texas,BANDERA,3,22351,78.1,0.13422218245268666,Urban Cluster,791.0,0.03792667509481669,29.7404135,-99.2785583
10,Texas,BASTROP,15,84761,77.0,0.17696818112103443,Urban,888.2,0.16888088268408016,30.0458708,-97.35165579999999
11,Texas,BAYLOR,3,3581,75.6,0.8377548170901983,Urban Cluster,867.5,0.034582132564841495,33.5373926,-99.2785583
12,Texas,BEE,8,32563,76.6,0.245677609556859,Urban Cluster,880.2,0.09088843444671665,28.3624206,-97.69822719999999
13,Texas,BELL,59,347833,76.7,0.1696216287701282,Urban,1051.0,0.5613701236917221,31.134411,-97.5247243
14,Texas,BEXAR,471,1958578,76.9,0.24048059357350077,Urban,1239.8,3.7989998386836588,29.4200763,-98.5721016
15,Texas,BLANCO,3,11626,77.8,0.2580423189403062,Urban Cluster,709.3,0.042295220640067674,30.3500511,-98.3964938
16,Texas,BORDEN,0,673,77.0,0.0,Rural,897.4,0.0,32.82331080000001,-101.4339148
17,Texas,BOSQUE,6,18326,75.2,0.32740368874822656,Urban Cluster,983.0,0.06103763987792472,31.8507607,-97.69822719999999
18,Texas,BOWIE,36,94012,74.8,0.3829298387439901,Urban,885.0,0.4067796610169491,33.4473287,-94.479976
19,Texas,BRAZORIA,103,362457,76.1,0.2841716396703609,Urban,1357.7,0.7586359284083376,29.2131857,-95.4777811
20,Texas,BRAZOS,55,222830,78.5,0.2468249338060405,Urban,585.5,0.9393680614859095,30.6504141,-96.3226072
21,Texas,BREWSTER,5,9337,76.8,0.5355039091785371,Urban Cluster,6183.7,0.008085773889418956,29.6629938,-103.3587288
22,Texas,BRISCOE,0,1528,76.3,0.0,Rural,900.0,0.0,34.526178,-101.1617356
23,Texas,BROOKS,3,7235,78.5,0.414651002073255,Urban Cluster,943.4,0.0317998728005088,27.0273057,-98.2212979
24,Texas,BROWN,15,38053,75.5,0.3941870548971172,Urban Cluster,944.4,0.1588310038119441,44.45616740000001,-87.9334803
25,Texas,BURLESON,4,18011,76.6,0.22208650269279884,Urban Cluster,659.0,0.06069802731411229,30.4500257,-96.663812
26,Texas,BURNET,14,46804,77.0,0.2991197333561234,Urban Cluster,994.3,0.14080257467565122,30.7270349,-98.2212979
27,Texas,CALDWELL,10,42338,76.4,0.2361944352591053,Urban Cluster,545.3,0.18338529249954155,35.9227448,-81.5596427
28,Texas,CALHOUN,6,21744,76.6,0.27593818984547464,Urban Cluster,506.8,0.11838989739542226,42.2073905,-85.02334599999999
29,Texas,CALLAHAN,2,13946,76.2,0.1434102968593145,Urban Cluster,899.4,0.022237046920169003,32.2728116,-99.456155
30,Texas,CAMERON,97,423725,80.1,0.2289220602985427,Urban,890.9,1.0887866202716354,26.1284971,-97.5247243
31,Texas,CAMP,4,12855,73.5,0.31116297160637885,Urban Cluster,195.8,0.20429009193054137,32.9567043,-94.99744609999999
32,Texas,CARSON,1,6032,76.0,0.16578249336870027,Urban Cluster,920.2,0.01086720278200391,35.4578717,-101.4339148
33,Texas,CASS,8,30012,73.5,0.2665600426496068,Urban Cluster,937.0,0.08537886872998933,47.2144536,-94.2309171
34,Texas,CASTRO,3,7843,76.8,0.3825066938671427,Urban Cluster,894.4,0.03354203935599285,34.4985047,-102.3463875
35,Texas,CHAMBERS,9,41441,75.7,0.2171762264424121,Urban Cluster,597.1,0.15072852118573102,29.7524956,-94.6863782
36,Texas,CHEROKEE,15,52240,75.0,0.28713629402756513,Urban,1052.9,0.14246367176370023,34.2514526,-84.4802606
37,Texas,CHILDRESS,4,7067,75.2,0.5660110372152257,Urban Cluster,696.4,0.05743825387708214,34.5257527,-100.1703257
38,Texas,CLAY,2,10421,75.0,0.1919201612129354,Urban Cluster,1088.7,0.01837053366400294,29.9943564,-81.77870209999999
39,Texas,COCHRAN,1,2851,76.5,0.350754121360926,Urban Cluster,775.2,0.012899896800825594,33.5643803,-102.8975098
40,Texas,COKE,0,3306,76.0,0.0,Urban Cluster,911.5,0.0,31.82776629999999,-100.5296115
41,Texas,COLEMAN,2,8430,75.4,0.23724792408066428,Urban Cluster,1262.0,0.01584786053882726,31.7320219,-99.456155
42,Texas,COLLIN,288,969603,79.7,0.29702878394559423,Urban,841.2,3.4236804564907275,33.1795213,-96.49297969999999
43,Texas,COLLINGSWORTH,2,2987,75.2,0.6695681285570807,Urban Cluster,918.4,0.021777003484320556,35.0351623,-100.3497895
44,Texas,COLORADO,8,21232,76.3,0.37678975131876413,Urban Cluster,960.3,0.08330729980214517,29.5378648,-96.49297969999999
45,Texas,COMAL,42,141009,78.8,0.2978533285109461,Urban,559.5,0.7506702412868632,29.8105572,-98.2212979
46,Texas,COMANCHE,5,13573,76.0,0.3683783982907242,Urban Cluster,937.8,0.05331627212625294,34.6612778,-98.3964938
47,Texas,CONCHO,2,2717,75.4,0.736105999263894,Urban Cluster,983.8,0.020329335230737954,31.3431641,-99.8124935
48,Texas,COOKE,11,39895,76.3,0.2757237749091365,Urban Cluster,874.8,0.12574302697759487,33.6672185,-97.35165579999999
49,Texas,CORYELL,12,74913,76.7,0.1601858155460334,Urban,1052.1,0.11405759908753922,31.4774358,-97.87216
50,Texas,COTTLE,0,1387,77.0,0.0,Rural,900.6,0.0,34.159117,-100.3497895
51,Texas,CRANE,2,4740,75.3,0.4219409282700422,Urban Cluster,785.1,0.025474461851993375,31.4654966,-102.5298028
52,Texas,CROCKETT,1,3564,76.9,0.28058361391694725,Urban Cluster,2807.3,0.0035621415595055747,30.5977955,-101.1617356
53,Texas,CROSBY,2,5899,75.4,0.3390405153415833,Urban Cluster,900.2,0.02221728504776716,33.5500004,-101.2523792
54,Texas,CULBERSON,2,2231,77.9,0.8964589870013447,Rural,3812.8,0.005245488879563575,31.347767,-104.4723301
55,Texas,DALLAM,3,7208,77.3,0.416204217536071,Urban Cluster,1503.3,0.019956096587507487,36.20745,-102.5298028
56,Texas,DALLAS,740,2618148,76.3,0.28264253968835984,Urban,871.3,8.49305635257661,32.8024682,-96.83509989999999
57,Texas,DAWSON,5,12813,77.0,0.39022867400296574,Urban Cluster,900.3,0.055537043207819624,34.412912,-84.14351359999999
58,Texas,DEAF SMITH,6,18836,76.8,0.31853896793374387,Urban Cluster,1496.9,0.04008283786492084,35.0017354,-102.5298028
59,Texas,DELTA,1,5298,75.0,0.1887504718761797,Urban Cluster,256.8,0.03894080996884735,38.8531357,-107.763621
60,Texas,DENTON,198,836210,78.3,0.2367826263737578,Urban,878.4,2.2540983606557377,33.1418611,-97.179026
61,Texas,DEWITT,0,20226,76.3,0.0,Urban Cluster,909.0,0.0,29.1235194,-97.35165579999999
62,Texas,DICKENS,1,2209,75.4,0.4526935264825713,Rural,901.7,0.011090163025396471,33.5985109,-100.7097867
63,Texas,DIMMIT,5,10418,75.4,0.4799385678633135,Urban Cluster,1328.9,0.03762510346903453,28.4116514,-99.8124935
64,Texas,DONLEY,2,3311,75.2,0.6040471156750227,Urban Cluster,926.9,0.021577300679684972,34.9875355,-100.8903099
65,Texas,DUVAL,1,11273,77.7,0.08870753126940477,Urban Cluster,1793.5,0.005575689991636465,30.3500511,-81.6035062
66,Texas,EASTLAND,5,18411,75.0,0.271576774754223,Urban Cluster,926.5,0.053966540744738264,32.3240465,-98.7481167
67,Texas,ECTOR,38,157087,75.4,0.24190416775417445,Urban,897.7,0.42330399910883365,31.8246483,-102.5298028
68,Texas,EDWARDS,0,1953,76.8,0.0,Rural,2117.9,0.0,29.9282955,-100.439656
69,Texas,EL PASO,175,840410,78.3,0.20823169643388345,Urban,1012.7,1.7280537177841413,31.8039824,-106.2051484
70,Texas,ELLIS,39,173620,75.5,0.22462849902085014,Urban,935.5,0.4168893639764832,32.2619765,-96.83509989999999
71,Texas,ERATH,11,41969,77.0,0.26209821534942457,Urban Cluster,1083.1,0.10156033607238484,32.17934040000001,-98.2212979
72,Texas,FALLS,6,17437,74.0,0.34409588805413777,Urban Cluster,765.5,0.07838014369693011,31.1636412,-97.0068393
73,Texas,FANNIN,8,34446,74.5,0.23224757591592637,Urban Cluster,890.8,0.0898069151324652,33.5544296,-96.15269850000001
74,Texas,FAYETTE,6,25272,77.0,0.23741690408357077,Urban Cluster,950.0,0.06315789473684211,33.4502206,-84.4802606
75,Texas,FISHER,4,3880,77.0,1.0309278350515465,Urban Cluster,898.9,0.04449883190566248,32.7398733,-100.3497895
76,Texas,FLOYD,3,5855,76.3,0.5123825789923143,Urban Cluster,992.1,0.03023888720895071,34.2828967,-85.2308414
77,Texas,FOARD,1,1222,77.0,0.8183306055646482,Rural,704.4,0.014196479273140262,33.9865825,-99.7678687
78,Texas,FORT BEND,243,764828,78.9,0.3177184935697961,Urban,861.5,2.820661636680209,29.5692614,-95.81428849999999
79,Texas,FRANKLIN,2,10767,75.7,0.1857527630723507,Urban Cluster,284.4,0.07032348804500704,40.0154745,-82.99316069999999
80,Texas,FREESTONE,5,19625,74.4,0.25477707006369427,Urban Cluster,877.7,0.05696707303178762,31.7534889,-96.15269850000001
81,Texas,FRIO,7,19600,75.4,0.35714285714285715,Urban Cluster,1133.5,0.061755624172915746,28.831355,-99.1013498
82,Texas,GAINES,4,20638,77.0,0.19381723035177828,Urban Cluster,1502.4,0.026624068157614485,32.6987519,-102.7135121
83,Texas,GALVESTON,87,335036,75.4,0.25967358731598994,Urban,378.4,2.299154334038055,29.37634989999999,-94.8520636
84,Texas,GARZA,1,6528,75.4,0.15318627450980393,Urban Cluster,893.4,0.011193194537721066,33.1955897,-101.2523792
85,Texas,GILLESPIE,8,26646,78.8,0.30023268032725364,Urban Cluster,1058.2,0.0756000756000756,30.31499299999999,-98.92453429999999
86,Texas,GLASSCOCK,0,1348,76.2,0.0,Rural,900.2,0.0,31.912308,-101.6157773
87,Texas,GOLIAD,2,7562,76.3,0.2644802962179318,Urban Cluster,852.0,0.023474178403755867,28.5673709,-97.35165579999999
88,Texas,GONZALES,6,20893,76.4,0.2871775235724884,Urban Cluster,1066.7,0.05624824224242992,29.4834878,-97.5247243
89,Texas,GRAY,7,22404,76.0,0.3124442063917158,Urban Cluster,926.0,0.0755939524838013,35.3352558,-100.8903099
90,Texas,GRAYSON,47,131140,75.4,0.3583956077474455,Urban,932.8,0.5038593481989708,33.7062406,-96.663812
91,Texas,GREGG,45,123367,74.4,0.36476529379817946,Urban,273.3,1.6465422612513718,32.4892547,-94.8520636
92,Texas,GRIMES,6,28082,74.9,0.21365999572680008,Urban Cluster,787.5,0.0761904761904762,30.4829853,-95.9832577
93,Texas,GUADALUPE,24,159659,78.1,0.1503203702891788,Urban,711.3,0.3374103753690426,29.6477307,-97.87216
94,Texas,HALE,10,34134,77.3,0.2929630280658581,Urban Cluster,1004.7,0.09953219866626853,34.1064941,-101.8891721
95,Texas,HALL,1,3071,76.3,0.32562683165092804,Urban Cluster,883.5,0.011318619128466328,34.30778,-83.804868
96,Texas,HAMILTON,5,8422,75.2,0.5936832106388031,Urban Cluster,835.9,0.05981576743629621,39.2355447,-84.56414699999999
97,Texas,HANSFORD,2,5447,75.9,0.3671745915182669,Urban Cluster,919.8,0.02174385736029572,36.31837489999999,-101.4339148
98,Texas,HARDEMAN,3,3994,75.2,0.7511266900350526,Urban Cluster,695.1,0.04315925766076824,35.1229172,-89.0179332
99,Texas,HARDIN,15,57139,73.9,0.26251771994609635,Urban,890.6,0.16842578037278239,30.364764,-94.315422
100,Texas,HARRIS,1416,4652980,76.3,0.304321101745548,Urban,1703.5,8.312298209568535,29.7751825,-95.3102505
101,Texas,HARRISON,12,66661,74.7,0.18001530130061055,Urban,900.0,0.13333333333333333,30.432087,-89.0179332
102,Texas,HARTLEY,0,5691,77.3,0.0,Urban Cluster,1462.0,0.0,35.86479569999999,-102.5298028
103,Texas,HASKELL,2,5746,77.0,0.3480682213713888,Urban Cluster,903.1,0.022145941756173182,33.1403423,-99.8124935
104,Texas,HAYS,50,214485,78.7,0.2331165349558244,Urban,678.0,0.7374631268436578,30.0537607,-98.0028892
105,Texas,HEMPHILL,2,4024,75.9,0.49701789264413515,Urban Cluster,906.3,0.022067747986317998,35.9022267,-100.3497895
106,Texas,HENDERSON,18,81064,74.5,0.2220467778545347,Urban,873.8,0.20599679560540168,35.3725873,-82.4319405
107,Texas,HIDALGO,183,860661,80.2,0.21262727136468365,Urban,1570.9,1.1649372970908396,26.4656319,-98.2212979
108,Texas,HILL,9,35852,75.0,0.25103202052884077,Urban Cluster,958.9,0.09385754510376473,32.0621768,-97.179026
109,Texas,HOCKLEY,5,23088,76.6,0.21656271656271656,Urban Cluster,908.4,0.055041831792162044,33.6212592,-102.3463875
110,Texas,HOOD,13,58273,75.9,0.22308787946390268,Urban,420.6,0.3090822634331907,32.4296296,-97.8286368
111,Texas,HOPKINS,10,36496,75.0,0.2740026304252521,Urban Cluster,767.2,0.13034410844629823,33.2282942,-95.4777811
112,Texas,HOUSTON,5,23021,73.3,0.21719299769775421,Urban Cluster,1230.9,0.04062068405231944,32.4219655,-83.63484299999999
113,Texas,HOWARD,10,36040,74.5,0.27746947835738067,Urban Cluster,900.8,0.11101243339253997,39.2873463,-76.964306
114,Texas,HUDSPETH,1,4408,77.9,0.22686025408348456,Urban Cluster,4571.0,0.002187705097352877,31.5707433,-105.5943388
115,Texas,HUNT,24,93872,75.1,0.2556672916311573,Urban,840.3,0.28561228132809713,33.1967938,-96.15269850000001
116,Texas,HUTCHINSON,6,21375,76.0,0.2807017543859649,Urban Cluster,887.4,0.0676132521974307,35.8031909,-101.4339148
117,Texas,IRION,0,1516,76.2,0.0,Rural,1051.6,0.0,31.2557696,-100.8903099
118,Texas,JACK,2,8832,75.0,0.22644927536231885,Urban Cluster,910.7,0.021961128802020426,33.2560382,-98.2212979
119,Texas,JACKSON,5,14805,76.6,0.33772374197906113,Urban Cluster,829.4,0.06028454304316373,38.9914998,-94.315422
120,Texas,JASPER,12,35561,74.6,0.3374483282247406,Urban Cluster,938.9,0.12780913835339225,32.491436,-81.0754657
121,Texas,JEFF DAVIS,0,2280,77.9,0.0,Rural,2264.6,0.0,30.750805,-104.1930918
122,Texas,JEFFERSON,86,256299,74.8,0.3355455932329037,Urban,876.3,0.981399064247404,39.5800298,-105.2662931
123,Texas,JIM HOGG,1,5202,77.7,0.1922337562475971,Urban Cluster,1136.1,0.008802042073761113,26.995506,-98.7481167
124,Texas,JIM WELLS,9,40871,76.1,0.2202050353551418,Urban Cluster,865.0,0.10404624277456648,27.7841718,-98.04651849999999
125,Texas,JOHNSON,39,167301,75.5,0.23311277278677353,Urban,724.7,0.5381537187801848,38.845412,-94.8520636
