STNAME,CTYNAME,POPESTIMATE2017
South Carolina,McCormick County,9545
South Carolina,Marion County,31293
South Carolina,Marlboro County,26825
South Carolina,Newberry County,38488
South Carolina,Oconee County,77270
South Carolina,Orangeburg County,87476
South Carolina,Pickens County,123479
South Carolina,Richland County,411592
South Carolina,Saluda County,20452
South Carolina,Spartanburg County,306854
South Carolina,Sumter County,106847
South Carolina,Union County,27537
South Carolina,Williamsburg County,31133
South Carolina,York County,266439
South Dakota,Aurora County,2738
South Dakota,Beadle County,18157
South Dakota,Bennett County,3454
South Dakota,Bon Homme County,6984
South Dakota,Brookings County,34255
South Dakota,Brown County,39178
South Dakota,Brule County,5312
South Dakota,Buffalo County,1999
South Dakota,Butte County,10107
South Dakota,Campbell County,1379
South Dakota,Charles Mix County,9428
South Dakota,Clark County,3668
South Dakota,Clay County,13990
South Dakota,Codington County,28099
South Dakota,Corson County,4203
South Dakota,Custer County,8691
South Dakota,Davison County,19704
South Dakota,Day County,5521
South Dakota,Deuel County,4281
South Dakota,Dewey County,5835
South Dakota,Douglas County,2931
South Dakota,Edmunds County,3919
South Dakota,Fall River County,6687
South Dakota,Faulk County,2329
South Dakota,Grant County,7061
South Dakota,Gregory County,4226
South Dakota,Haakon County,1943
South Dakota,Hamlin County,5948
South Dakota,Hand County,3277
South Dakota,Hanson County,3423
South Dakota,Harding County,1242
South Dakota,Hughes County,17666
South Dakota,Hutchinson County,7358
South Dakota,Hyde County,1318
South Dakota,Jackson County,3289
South Dakota,Jerauld County,2028
South Dakota,Jones County,936
South Dakota,Kingsbury County,4952
South Dakota,Lake County,12809
South Dakota,Lawrence County,25429
South Dakota,Lincoln County,56664
South Dakota,Lyman County,3904
South Dakota,McCook County,5499
South Dakota,McPherson County,2426
South Dakota,Marshall County,4804
South Dakota,Meade County,28018
South Dakota,Mellette County,2088
South Dakota,Miner County,2228
South Dakota,Minnehaha County,188616
South Dakota,Moody County,6579
South Dakota,Oglala Lakota County,14354
South Dakota,Pennington County,110141
South Dakota,Perkins County,2974
South Dakota,Potter County,2231
South Dakota,Roberts County,10278
South Dakota,Sanborn County,2450
South Dakota,Spink County,6410
South Dakota,Stanley County,3011
South Dakota,Sully County,1407
South Dakota,Todd County,10065
South Dakota,Tripp County,5460
South Dakota,Turner County,8315
South Dakota,Union County,15029
South Dakota,Walworth County,5543
South Dakota,Yankton County,22662
South Dakota,Ziebach County,2756
Tennessee,Anderson County,76257
Tennessee,Bedford County,48117
Tennessee,Benton County,15986
Tennessee,Bledsoe County,14717
Tennessee,Blount County,129929
Tennessee,Bradley County,105560
Tennessee,Campbell County,39648
Tennessee,Cannon County,14216
Tennessee,Carroll County,27860
Tennessee,Carter County,56488
Tennessee,Cheatham County,40330
Tennessee,Chester County,17119
Tennessee,Claiborne County,31609
Tennessee,Clay County,7703
Tennessee,Cocke County,35556
Tennessee,Coffee County,55034
Tennessee,Crockett County,14473
Tennessee,Cumberland County,59078
Tennessee,Davidson County,691243
Tennessee,Decatur County,11751
Tennessee,DeKalb County,19852
Tennessee,Dickson County,52853
Tennessee,Dyer County,37463
Tennessee,Fayette County,40036
Tennessee,Fentress County,18136
Tennessee,Franklin County,41652
Tennessee,Gibson County,49111
Tennessee,Giles County,29401
Tennessee,Grainger County,23144
Tennessee,Greene County,68808
Tennessee,Grundy County,13361
Tennessee,Hamblen County,64277
Tennessee,Hamilton County,361613
Tennessee,Hancock County,6600
Tennessee,Hardeman County,25447
Tennessee,Hardin County,25846
Tennessee,Hawkins County,56459
Tennessee,Haywood County,17573
Tennessee,Henderson County,27751
Tennessee,Henry County,32450
Tennessee,Hickman County,24864
Tennessee,Houston County,8213
Tennessee,Humphreys County,18484
Tennessee,Jackson County,11677
Tennessee,Jefferson County,53804
Tennessee,Johnson County,17691
Tennessee,Knox County,461860
Tennessee,Lake County,7468
Tennessee,Lauderdale County,25274
Tennessee,Lawrence County,43396
Tennessee,Lewis County,12035
Tennessee,Lincoln County,33751
Tennessee,Loudon County,52152
Tennessee,McMinn County,52877
Tennessee,McNairy County,26004
Tennessee,Macon County,24079
Tennessee,Madison County,97643
Tennessee,Marion County,28425
Tennessee,Marshall County,32931
Tennessee,Maury County,92163
Tennessee,Meigs County,12068
Tennessee,Monroe County,46240
Tennessee,Montgomery County,200182
Tennessee,Moore County,6384
Tennessee,Morgan County,21636
Tennessee,Obion County,30385
Tennessee,Overton County,22012
Tennessee,Perry County,7975
Tennessee,Pickett County,5073
Tennessee,Polk County,16757
Tennessee,Putnam County,77674
Tennessee,Rhea County,32691
Tennessee,Roane County,53036
Tennessee,Robertson County,70177
Tennessee,Rutherford County,317157
Tennessee,Scott County,21989
Tennessee,Sequatchie County,14736
Tennessee,Sevier County,97638
Tennessee,Shelby County,936961
Tennessee,Smith County,19636
Tennessee,Stewart County,13355
Tennessee,Sullivan County,157158
Tennessee,Sumner County,183545
Tennessee,Tipton County,61366
Tennessee,Trousdale County,10083
Tennessee,Unicoi County,17759
Tennessee,Union County,19442
Tennessee,Van Buren County,5742
Tennessee,Warren County,40651
Tennessee,Washington County,127806
Tennessee,Wayne County,16583
Tennessee,Weakley County,33337
Tennessee,White County,26753
Tennessee,Williamson County,226257
Tennessee,Wilson County,136442
Texas,Anderson County,57741
Texas,Andrews County,17722
Texas,Angelina County,87805
Texas,Aransas County,25572
Texas,Archer County,8809
Texas,Armstrong County,1879
Texas,Atascosa County,48981
Texas,Austin County,29786
Texas,Bailey County,7077
Texas,Bandera County,22351
Texas,Bastrop County,84761
Texas,Baylor County,3581
Texas,Bee County,32563
Texas,Bell County,347833
Texas,Bexar County,1958578
Texas,Blanco County,11626
Texas,Borden County,673
Texas,Bosque County,18326
Texas,Bowie County,94012
Texas,Brazoria County,362457
Texas,Brazos County,222830
Texas,Brewster County,9337
Texas,Briscoe County,1528
Texas,Brooks County,7235
Texas,Brown County,38053
Texas,Burleson County,18011
Texas,Burnet County,46804
Texas,Caldwell County,42338
Texas,Calhoun County,21744
Texas,Callahan County,13946
Texas,Cameron County,423725
Texas,Camp County,12855
Texas,Carson County,6032
Texas,Cass County,30012
Texas,Castro County,7843
Texas,Chambers County,41441
Texas,Cherokee County,52240
Texas,Childress County,7067
Texas,Clay County,10421
Texas,Cochran County,2851
Texas,Coke County,3306
Texas,Coleman County,8430
Texas,Collin County,969603
Texas,Collingsworth County,2987
Texas,Colorado County,21232
Texas,Comal County,141009
Texas,Comanche County,13573
Texas,Concho County,2717
Texas,Cooke County,39895
Texas,Coryell County,74913
Texas,Cottle County,1387
Texas,Crane County,4740
Texas,Crockett County,3564
Texas,Crosby County,5899
Texas,Culberson County,2231
Texas,Dallam County,7208
Texas,Dallas County,2618148
Texas,Dawson County,12813
Texas,Deaf Smith County,18836
Texas,Delta County,5298
Texas,Denton County,836210
Texas,DeWitt County,20226
Texas,Dickens County,2209
Texas,Dimmit County,10418
Texas,Donley County,3311
Texas,Duval County,11273
Texas,Eastland County,18411
Texas,Ector County,157087
Texas,Edwards County,1953
Texas,Ellis County,173620
Texas,El Paso County,840410
Texas,Erath County,41969
Texas,Falls County,17437
Texas,Fannin County,34446
Texas,Fayette County,25272
Texas,Fisher County,3880
Texas,Floyd County,5855
Texas,Foard County,1222
Texas,Fort Bend County,764828
Texas,Franklin County,10767
Texas,Freestone County,19625
Texas,Frio County,19600
Texas,Gaines County,20638
Texas,Galveston County,335036
Texas,Garza County,6528
Texas,Gillespie County,26646
Texas,Glasscock County,1348
Texas,Goliad County,7562
Texas,Gonzales County,20893
Texas,Gray County,22404
Texas,Grayson County,131140
Texas,Gregg County,123367
Texas,Grimes County,28082
Texas,Guadalupe County,159659
Texas,Hale County,34134
Texas,Hall County,3071
Texas,Hamilton County,8422
Texas,Hansford County,5447
Texas,Hardeman County,3994
Texas,Hardin County,57139
Texas,Harris County,4652980
Texas,Harrison County,66661
Texas,Hartley County,5691
Texas,Haskell County,5746
Texas,Hays County,214485
Texas,Hemphill County,4024
Texas,Henderson County,81064
Texas,Hidalgo County,860661
Texas,Hill County,35852
Texas,Hockley County,23088
Texas,Hood County,58273
Texas,Hopkins County,36496
Texas,Houston County,23021
Texas,Howard County,36040
Texas,Hudspeth County,4408
Texas,Hunt County,93872
Texas,Hutchinson County,21375
Texas,Irion County,1516
Texas,Jack County,8832
Texas,Jackson County,14805
Texas,Jasper County,35561
Texas,Jeff Davis County,2280
Texas,Jefferson County,256299
Texas,Jim Hogg County,5202
Texas,Jim Wells County,40871
Texas,Johnson County,167301
Texas,Jones County,19983
Texas,Karnes County,15187
Texas,Kaufman County,122883
Texas,Kendall County,44026
Texas,Kenedy County,417
Texas,Kent County,763
Texas,Kerr County,51720
Texas,Kimble County,4410
Texas,King County,296
Texas,Kinney County,3745
Texas,Kleberg County,31088
Texas,Knox County,3710
Texas,Lamar County,49587
Texas,Lamb County,13210
Texas,Lampasas County,21027
Texas,La Salle County,7584
Texas,Lavaca County,20062
Texas,Lee County,17183
Texas,Leon County,17243
Texas,Liberty County,83658
Texas,Limestone County,23527
Texas,Lipscomb County,3378
Texas,Live Oak County,12174
Texas,Llano County,21210
Texas,Loving County,134
Texas,Lubbock County,305225
Texas,Lynn County,5859
Texas,McCulloch County,7957
Texas,McLennan County,251259
Texas,McMullen County,778
Texas,Madison County,14222
Texas,Marion County,10064
Texas,Martin County,5626
Texas,Mason County,4222
Texas,Matagorda County,36840
Texas,Maverick County,58216
Texas,Medina County,50066
Texas,Menard County,2124
Texas,Midland County,165049
Texas,Milam County,25053
Texas,Mills County,4921
Texas,Mitchell County,8468
Texas,Montague County,19539
Texas,Montgomery County,570934
Texas,Moore County,22097
Texas,Morris County,12467
Texas,Motley County,1230
Texas,Nacogdoches County,65580
Texas,Navarro County,48701
Texas,Newton County,13952
Texas,Nolan County,14770
Texas,Nueces County,361221
Texas,Ochiltree County,10073
Texas,Oldham County,2114
Texas,Orange County,85047
Texas,Palo Pinto County,28570
Texas,Panola County,23243
Texas,Parker County,133463
Texas,Parmer County,9842
Texas,Pecos County,15634
Texas,Polk County,49162
Texas,Potter County,120458
Texas,Presidio County,7156
Texas,Rains County,11762
Texas,Randall County,134442
Texas,Reagan County,3710
Texas,Real County,3429
Texas,Red River County,12229
Texas,Reeves County,15281
Texas,Refugio County,7224
Texas,Roberts County,938
Texas,Robertson County,17203
Texas,Rockwall County,96788
Texas,Runnels County,10266
Texas,Rusk County,52833
Texas,Sabine County,10461
Texas,San Augustine County,8253
Texas,San Jacinto County,28270
Texas,San Patricio County,67215
Texas,San Saba County,5959
Texas,Schleicher County,3001
Texas,Scurry County,17050
Texas,Shackelford County,3328
Texas,Shelby County,25513
Texas,Sherman County,3067
Texas,Smith County,227727
Texas,Somervell County,8845
Texas,Starr County,64454
Texas,Stephens County,9337
Texas,Sterling County,1295
Texas,Stonewall County,1388
Texas,Sutton County,3767
Texas,Swisher County,7515
Texas,Tarrant County,2054475
Texas,Taylor County,136290
Texas,Terrell County,810
Texas,Terry County,12715
Texas,Throckmorton County,1527
Texas,Titus County,32904
Texas,Tom Green County,118019
Texas,Travis County,1226698
Texas,Trinity County,14667
Texas,Tyler County,21539
Texas,Upshur County,41281
Texas,Upton County,3663
Texas,Uvalde County,27132
Texas,Val Verde County,49205
Texas,Van Zandt County,55182
Texas,Victoria County,92084
Texas,Walker County,72245
Texas,Waller County,51307
Texas,Ward County,11472
Texas,Washington County,35043
Texas,Webb County,274794
Texas,Wharton County,41968
Texas,Wheeler County,5358
Texas,Wichita County,132000
Texas,Wilbarger County,12764
Texas,Willacy County,21584
Texas,Williamson County,547545
Texas,Wilson County,49304
Texas,Winkler County,7574
Texas,Wise County,66181
Texas,Wood County,44314
Texas,Yoakum County,8568
Texas,Young County,17979
Texas,Zapata County,14322
Texas,Zavala County,11948
Utah,Beaver County,6386
Utah,Box Elder County,54079
Utah,Cache County,124438
Utah,Carbon County,20295
Utah,Daggett County,1029
Utah,Davis County,347637
Utah,Duchesne County,20026
Utah,Emery County,10077
Utah,Garfield County,5078
Utah,Grand County,9674
Utah,Iron County,51001
Utah,Juab County,11250
Utah,Kane County,7567
Utah,Millard County,12863
Utah,Morgan County,11873
Utah,Piute County,1420
Utah,Rich County,2391
Utah,Salt Lake County,1135649
Utah,San Juan County,15356
Utah,Sanpete County,30035
Utah,Sevier County,21316
Utah,Summit County,41106
Utah,Tooele County,67456
Utah,Uintah County,35150
Utah,Utah County,606425
Utah,Wasatch County,32106
Utah,Washington County,165662
Utah,Wayne County,2719
Utah,Weber County,251769
Vermont,Addison County,36776
Vermont,Bennington County,35594
Vermont,Caledonia County,30164
Vermont,Chittenden County,162372
Vermont,Essex County,6230
Vermont,Franklin County,49025
Vermont,Grand Isle County,6998
Vermont,Lamoille County,25337
Vermont,Orange County,28974
Vermont,Orleans County,26841
Vermont,Rutland County,59087
Vermont,Washington County,58290
Vermont,Windham County,42869
Vermont,Windsor County,55100
Virginia,Accomack County,32545
Virginia,Albemarle County,107702
Virginia,Alleghany County,15122
Virginia,Amelia County,13020
Virginia,Amherst County,31594
Virginia,Appomattox County,15681
Virginia,Arlington County,234965
Virginia,Augusta County,75144
Virginia,Bath County,4297
Virginia,Bedford County,77974
Virginia,Bland County,6350
Virginia,Botetourt County,33192
Virginia,Brunswick County,16244
Virginia,Buchanan County,21514
Virginia,Buckingham County,17065
Virginia,Campbell County,55010
Virginia,Caroline County,30461
Virginia,Carroll County,29708
Virginia,Charles City County,7004
Virginia,Charlotte County,12119
Virginia,Chesterfield County,343599
Virginia,Clarke County,14508
Virginia,Craig County,5062
Virginia,Culpeper County,51282
Virginia,Cumberland County,9811
Virginia,Dickenson County,14782
Virginia,Dinwiddie County,28208
Virginia,Essex County,11028
Virginia,Fairfax County,1148433
Virginia,Fauquier County,69465
Virginia,Floyd County,15755
Virginia,Fluvanna County,26452
Virginia,Franklin County,56445
Virginia,Frederick County,86484
Virginia,Giles County,16837
Virginia,Gloucester County,37292
Virginia,Goochland County,22685
Virginia,Grayson County,15665
Virginia,Greene County,19612
Virginia,Greensville County,11679
Virginia,Halifax County,34563
Virginia,Hanover County,105923
Virginia,Henrico County,327898
Virginia,Henry County,51227
Virginia,Highland County,2212
Virginia,Isle of Wight County,36552
Virginia,James City County,75524
Virginia,King and Queen County,7003
Virginia,King George County,26337
Virginia,King William County,16708
Virginia,Lancaster County,10788
Virginia,Lee County,23758
Virginia,Loudoun County,398080
Virginia,Louisa County,35860
Virginia,Lunenburg County,12235
Virginia,Madison County,13277
Virginia,Mathews County,8779
Virginia,Mecklenburg County,30686
Virginia,Middlesex County,10679
Virginia,Montgomery County,98559
Virginia,Nelson County,14943
Virginia,New Kent County,21682
Virginia,Northampton County,11846
Virginia,Northumberland County,12275
Virginia,Nottoway County,15434
Virginia,Orange County,36073
Virginia,Page County,23731
Virginia,Patrick County,17665
Virginia,Pittsylvania County,61258
Virginia,Powhatan County,28601
Virginia,Prince Edward County,22703
Virginia,Prince George County,37809
Virginia,Prince William County,463023
Virginia,Pulaski County,34184
Virginia,Rappahannock County,7321
Virginia,Richmond County,8939
Virginia,Roanoke County,93730
Virginia,Rockbridge County,22659
Virginia,Rockingham County,80227
Virginia,Russell County,27048
Virginia,Scott County,21865
Virginia,Shenandoah County,43225
Virginia,Smyth County,30656
Virginia,Southampton County,17750
Virginia,Spotsylvania County,133033
Virginia,Stafford County,146649
Virginia,Surry County,6540
Virginia,Sussex County,11373
Virginia,Tazewell County,41095
Virginia,Warren County,39563
Virginia,Washington County,54387
Virginia,Westmoreland County,17780
Virginia,Wise County,38586
Virginia,Wythe County,28882
Virginia,York County,67739
Virginia,Alexandria city,160035
Virginia,Bristol city,16790
Virginia,Buena Vista city,6327
Virginia,Charlottesville city,48019
Virginia,Chesapeake city,240397
Virginia,Colonial Heights city,17830
Virginia,Covington city,5531
Virginia,Danville city,41130
Virginia,Emporia city,5282
Virginia,Fairfax city,24097
Virginia,Falls Church city,14583
Virginia,Franklin city,8176
Virginia,Fredericksburg city,28360
Virginia,Galax city,6625
Virginia,Hampton city,134669
Virginia,Harrisonburg city,54215
Virginia,Hopewell city,22621
Virginia,Lexington city,7106
Virginia,Lynchburg city,80995
Virginia,Manassas city,41501
Virginia,Manassas Park city,16591
Virginia,Martinsville city,13142
Virginia,Newport News city,179388
Virginia,Norfolk city,244703
Virginia,Norton city,3936
Virginia,Petersburg city,31750
Virginia,Poquoson city,12053
Virginia,Portsmouth city,94572
Virginia,Radford city,17658
Virginia,Richmond city,227032
Virginia,Roanoke city,99837
Virginia,Salem city,25862
Virginia,Staunton city,24528
Virginia,Suffolk city,90237
Virginia,Virginia Beach city,450435
Virginia,Waynesboro city,22327
Virginia,Williamsburg city,15031
Virginia,Winchester city,27932
Washington,Adams County,19506
Washington,Asotin County,22535
Washington,Benton County,198171
Washington,Chelan County,76533
Washington,Clallam County,75474
Washington,Clark County,474643
Washington,Columbia County,4047
Washington,Cowlitz County,106910
Washington,Douglas County,41945
Washington,Ferry County,7594
Washington,Franklin County,92125
Washington,Garfield County,2210
Washington,Grant County,95158
Washington,Grays Harbor County,72697
Washington,Island County,83159
Washington,Jefferson County,31234
Washington,King County,2188649
Washington,Kitsap County,266414
Washington,Kittitas County,46205
Washington,Klickitat County,21811
Washington,Lewis County,78200
Washington,Lincoln County,10579
Washington,Mason County,63710
Washington,Okanogan County,41742
Washington,Pacific County,21626
Washington,Pend Oreille County,13354
Washington,Pierce County,876764
Washington,San Juan County,16715
Washington,Skagit County,125619
Washington,Skamania County,11837
Washington,Snohomish County,801633
Washington,Spokane County,506152
Washington,Stevens County,44730
Washington,Thurston County,280588
Washington,Wahkiakum County,4264
Washington,Walla Walla County,60567
Washington,Whatcom County,221404
Washington,Whitman County,49046
Washington,Yakima County,250193
West Virginia,Barbour County,16497
West Virginia,Berkeley County,114920
West Virginia,Boone County,22349
West Virginia,Braxton County,14237
West Virginia,Brooke County,22443
West Virginia,Cabell County,94958
West Virginia,Calhoun County,7307
West Virginia,Clay County,8764
West Virginia,Doddridge County,8560
West Virginia,Fayette County,43521
West Virginia,Gilmer County,8005
West Virginia,Grant County,11670
West Virginia,Greenbrier County,35287
West Virginia,Hampshire County,23471
West Virginia,Hancock County,29448
West Virginia,Hardy County,13717
West Virginia,Harrison County,67811
West Virginia,Jackson County,28976
West Virginia,Jefferson County,56338
West Virginia,Kanawha County,183293
West Virginia,Lewis County,16226
West Virginia,Lincoln County,20825
West Virginia,Logan County,32925
West Virginia,McDowell County,18456
West Virginia,Marion County,56337
West Virginia,Marshall County,31190
West Virginia,Mason County,26801
West Virginia,Mercer County,59753
West Virginia,Mineral County,27222
West Virginia,Mingo County,24127
West Virginia,Monongalia County,105030
West Virginia,Monroe County,13402
West Virginia,Morgan County,17686
West Virginia,Nicholas County,25043
West Virginia,Ohio County,42035
West Virginia,Pendleton County,6996
West Virginia,Pleasants County,7512
West Virginia,Pocahontas County,8456
West Virginia,Preston County,33679
West Virginia,Putnam County,56792
West Virginia,Raleigh County,75022
West Virginia,Randolph County,28785
West Virginia,Ritchie County,9774
West Virginia,Roane County,14043
West Virginia,Summers County,12993
West Virginia,Taylor County,16930
West Virginia,Tucker County,6915
West Virginia,Tyler County,8795
West Virginia,Upshur County,24465
West Virginia,Wayne County,40153
West Virginia,Webster County,8372
West Virginia,Wetzel County,15437
West Virginia,Wirt County,5794
West Virginia,Wood County,85104
West Virginia,Wyoming County,21210
Wisconsin,Adams County,19973
Wisconsin,Ashland County,15500
Wisconsin,Barron County,45251
Wisconsin,Bayfield County,15008
Wisconsin,Brown County,262052
Wisconsin,Buffalo County,13167
Wisconsin,Burnett County,15352
Wisconsin,Calumet County,50067
Wisconsin,Chippewa County,63813
Wisconsin,Clark County,34679
Wisconsin,Columbia County,57248
Wisconsin,Crawford County,16214
Wisconsin,Dane County,536416
Wisconsin,Dodge County,87786
Wisconsin,Door County,27483
Wisconsin,Douglas County,43284
Wisconsin,Dunn County,44693
Wisconsin,Eau Claire County,103671
Wisconsin,Florence County,4371
Wisconsin,Fond du Lac County,102548
Wisconsin,Forest County,8970
Wisconsin,Grant County,51999
Wisconsin,Green County,36851
Wisconsin,Green Lake County,18760
Wisconsin,Iowa County,23715
Wisconsin,Iron County,5671
Wisconsin,Jackson County,20529
Wisconsin,Jefferson County,84832
Wisconsin,Juneau County,26576
Wisconsin,Kenosha County,168521
Wisconsin,Kewaunee County,20445
Wisconsin,La Crosse County,118274
Wisconsin,Lafayette County,16741
Wisconsin,Langlade County,19160
Wisconsin,Lincoln County,27838
Wisconsin,Manitowoc County,79175
Wisconsin,Marathon County,135732
Wisconsin,Marinette County,40310
Wisconsin,Marquette County,15308
Wisconsin,Menominee County,4615
Wisconsin,Milwaukee County,952085
Wisconsin,Monroe County,45625
Wisconsin,Oconto County,37553
Wisconsin,Oneida County,35254
Wisconsin,Outagamie County,186059
Wisconsin,Ozaukee County,88429
Wisconsin,Pepin County,7254
Wisconsin,Pierce County,41901
Wisconsin,Polk County,43450
Wisconsin,Portage County,70474
Wisconsin,Price County,13442
Wisconsin,Racine County,196071
Wisconsin,Richland County,17516
Wisconsin,Rock County,162309
Wisconsin,Rusk County,14151
Wisconsin,St. Croix County,88703
Wisconsin,Sauk County,63981
Wisconsin,Sawyer County,16418
Wisconsin,Shawano County,40935
Wisconsin,Sheboygan County,115344
Wisconsin,Taylor County,20321
Wisconsin,Trempealeau County,29472
Wisconsin,Vernon County,30759
Wisconsin,Vilas County,21683
Wisconsin,Walworth County,103082
Wisconsin,Washburn County,15758
Wisconsin,Washington County,135101
Wisconsin,Waukesha County,400621
Wisconsin,Waupaca County,51225
Wisconsin,Waushara County,24369
Wisconsin,Winnebago County,170414
Wisconsin,Wood County,73126
Wyoming,Albany County,38332
Wyoming,Big Horn County,11906
Wyoming,Campbell County,46242
Wyoming,Carbon County,15303
Wyoming,Converse County,13809
Wyoming,Crook County,7410
Wyoming,Fremont County,39803
Wyoming,Goshen County,13378
Wyoming,Hot Springs County,4696
Wyoming,Johnson County,8476
Wyoming,Laramie County,98327
Wyoming,Lincoln County,19265
Wyoming,Natrona County,79547
Wyoming,Niobrara County,2397
Wyoming,Park County,29568
Wyoming,Platte County,8562
Wyoming,Sheridan County,30210
Wyoming,Sublette County,9799
Wyoming,Sweetwater County,43534
Wyoming,Teton County,23265
Wyoming,Uinta County,20495
Wyoming,Washakie County,8064
Wyoming,Weston County,6927
